date,pool_price,visser_prod,bissell_prod,month,combined_production,combined_revenue
2025-12-08,15.876956521739132,0.4,0.0058,12,0.20290000000000002,3.2214344782608704
2025-12-09,59.01260869565217,0.2,0.002586666666666667,12,0.10129333333333333,5.977583843478261
2025-12-10,35.94434782608696,0.3,0.03265666666666667,12,0.16632833333333333,5.978563466666667
2025-12-11,41.65956521739131,0.1,0.5570454333333333,12,0.32852271666666666,13.686113540369567
2025-12-12,57.23,0.1,0.09829331666666687,12,0.09914665833333344,5.674163256416673
2025-12-13,47.52869565217392,0.2860000000000003,0.05731511666666656,12,0.17165755833333343,8.158659846420296
2025-12-14,19.78608695652174,0.2,0.1875173999999997,12,0.19375869999999984,3.8337264867826057
2025-12-15,7.450869565217391,0.1,0.005026666666666666,12,0.052513333333333335,0.3912699971014493
2025-12-16,21.069565217391304,0.2,0.16071419999999995,12,0.1803571,3.800045680869565
2025-12-17,21.270434782608696,0.1,0.16634515000000016,12,0.13317257500000007,2.8326385713695665
2025-12-18,26.452608695652174,0.1,0.16386683333333327,12,0.13193341666666664,3.4899830449637674
2025-12-19,20.566086956521737,0.2,0.19545619999999997,12,0.1977281,4.066493298347825
2025-12-20,40.13173913043478,0.1,1.3420861833333335,12,0.7210430916666668,28.936713256568844
2025-12-21,108.94739130434782,0.1,1.4051664000000015,12,0.7525832000000008,81.99197637947834
2025-12-22,157.37869565217392,0.1,1.1934580833333337,12,0.6467290416666669,101.78137301788047
2025-12-23,34.24652173913044,0.2,1.3880514833333333,12,0.7940257416666666,27.19261982341667
2025-12-24,45.90347826086956,0.1,0.15316193333333347,12,0.12658096666666674,5.810506651623191
2025-12-25,47.866956521739134,,1.5295690333333336,12,1.5295690333333336,73.21581441556523
2025-12-26,54.7,,0.14838210000000016,12,0.14838210000000016,8.116500870000008
2025-12-27,23.12217391304348,,1.30759915,12,1.30759915,30.234534954847824
2025-12-28,30.179565217391303,,1.3796061333333338,12,1.3796061333333338,41.63591327524639
2025-12-29,21.29869565217391,,1.7572774499999981,12,1.7572774499999981,37.42771758397822
2025-12-30,17.788260869565217,,0.725297833333333,12,0.725297833333333,12.901787067463761
2025-12-31,20.390434782608697,,0.5156635499999999,12,0.5156635499999999,10.514603986043475
